#lat,lon,cell_lat0,cell_lat1,cell_lon0,cell_lon1,cell_index
55.477,-4.567,55.000,57.500,355.000,357.500,0
52.260,0.570,50.000,52.500,0.000,2.500,1
56.457,-3.069,55.000,57.500,355.000,357.500,0
55.949,-3.312,55.000,57.500,355.000,357.500,0
52.125,-2.637,50.000,52.500,355.000,357.500,2
55.213,-1.682,55.000,57.500,357.500,360.000,3
53.854,-2.763,52.500,55.000,355.000,357.500,4
51.807,-0.356,50.000,52.500,357.500,360.000,5
50.628,-3.454,50.000,52.500,355.000,357.500,2
51.733,0.427,50.000,52.500,0.000,2.500,1
51.185,0.939,50.000,52.500,0.000,2.500,1
